toc_file,section,title,repo_path,derived_url,exl_url,match_method,http_status
,,,help/cja-main/components/filters/introduction-to-filters-in-cja.md,https://experienceleague.adobe.com/en/docs/analytics-platform/using/cja-components/filters/introduction-to-filters,https://experienceleague.adobe.com/en/docs/analytics-platform/using/cja-components/filters/introduction-to-filters,toc_slug_match,dead
,,,help/cja-main/components/filters/moving-adobe-analytics-segments-to-customer-journey-analytics.md,https://experienceleague.adobe.com/en/docs/analytics-platform/using/cja-components/filters/moving-adobe-analytics-segments-to-customer-journey-analytics,https://experienceleague.adobe.com/en/docs/analytics-platform/using/cja-components/filters/moving-adobe-analytics-segments-to-customer-journey-analytics,toc_slug_match,dead
,,,help/cja-main/components/filters/use-filters-as-dimensions.md,https://experienceleague.adobe.com/en/docs/analytics-platform/using/cja-components/filters/use-filters-as-dimensions,https://experienceleague.adobe.com/en/docs/analytics-platform/using/cja-components/filters/use-filters-as-dimensions,toc_slug_match,dead
,,,help/cja-main/connections/add-past-data-to-an-existing-connection-in-cja.md,https://experienceleague.adobe.com/en/docs/analytics-platform/using/cja-connections/add-past-data-to-an-existing-connection,https://experienceleague.adobe.com/en/docs/analytics-platform/using/cja-connections/add-past-data-to-an-existing-connection,toc_slug_match,dead
,,,help/cja-main/connections/cja-connections-creation-and-edit-experience.md,https://experienceleague.adobe.com/en/docs/analytics-platform/using/cja-connections/cja-connections-creation-and-edit-experience,https://experienceleague.adobe.com/en/docs/analytics-platform/using/cja-connections/cja-connections-creation-and-edit-experience,toc_slug_match,dead
,,,help/cja-main/connections/cja-lookup-data.md,https://experienceleague.adobe.com/en/docs/analytics-platform/using/cja-connections/cja-lookup-data,https://experienceleague.adobe.com/en/docs/analytics-platform/using/cja-connections/cja-lookup-data,toc_slug_match,dead
,,,help/cja-main/connections/connecting-customer-journey-analytics-to-data-sources-in-platform.md,https://experienceleague.adobe.com/en/docs/analytics-platform/using/cja-connections/connecting-customer-journey-analytics-to-data-sources-in-platform,https://experienceleague.adobe.com/en/docs/analytics-platform/using/cja-connections/connecting-customer-journey-analytics-to-data-sources-in-platform,toc_slug_match,dead
,,,help/cja-main/connections/connections-details-experience-in-cja.md,https://experienceleague.adobe.com/en/docs/analytics-platform/using/cja-connections/connections-details-experience,https://experienceleague.adobe.com/en/docs/analytics-platform/using/cja-connections/connections-details-experience,toc_slug_match,dead
,,,help/cja-main/content-analytics/create-configuration.md,https://experienceleague.adobe.com/en/docs/analytics-platform/using/content-analytics/create-configuration,https://experienceleague.adobe.com/en/docs/analytics-platform/using/content-analytics/create-configuration,toc_slug_match,dead
,,,help/cja-main/content-analytics/edit-configuration.md,https://experienceleague.adobe.com/en/docs/analytics-platform/using/content-analytics/edit-configuration,https://experienceleague.adobe.com/en/docs/analytics-platform/using/content-analytics/edit-configuration,toc_slug_match,dead
